hu1,hu2,hu3,hu4,hu5,hu6,hu7,etiqueta
0.16677869638904766,4.677006106637201e-05,6.384292815814369e-32,3.7297012084071466e-32,1.7980230791716218e-63,8.850080390788599e-35,-2.8187426408467443e-64,2
0.19260359767114077,5.832442908815007e-05,0.004566638643657663,1.7747804047954169e-06,3.669899476818959e-11,2.6629915080686656e-09,1.5550559775619432e-10,3
0.19223702571919413,1.857013929176115e-05,0.004515990745332774,4.95874582394032e-07,-5.786157688073495e-12,-4.937627208327815e-10,-2.2741183598354055e-11,3
0.16706946226066743,0.00014735827733690113,4.0810549341373494e-08,1.042048610247107e-09,6.0134626345594946e-18,-5.025287184198181e-12,3.1648698003280598e-18,2
0.16707836328118666,0.0001365842305176087,2.945455655008377e-11,3.2519198956141293e-12,3.151043959515055e-23,-3.573697214665812e-15,4.4726806441846126e-24,2
0.16732665901517585,0.00022194956192934224,7.921308492679066e-31,8.80145388075452e-32,-4.926921560703021e-63,-7.033528776447142e-34,-2.2711407635511474e-62,2
0.1666882342722535,1.5602160220105226e-05,5.133494287689042e-31,1.9744208798804003e-31,5.769539960143389e-62,6.702642892492074e-34,-2.494936198980925e-62,2
0.1592646505751042,3.3997005963321396e-05,8.905694524285106e-10,3.1267020073366834e-13,4.610630255800926e-24,1.5405471813919426e-15,2.4422413028386686e-24,1
0.1671340449733215,0.00015492620057084867,1.428552475213735e-11,1.5506126416530983e-12,7.213878298802015e-24,-2.9971482230145268e-15,-1.1047953137653198e-24,2
0.16697260318010387,0.00010585525157636763,5.688601882509419e-13,6.287103003495292e-14,-1.1888644801083151e-26,6.467129800363602e-16,1.735738042739975e-28,2
0.15960588381051222,0.0001424793633674388,1.6981175217612773e-09,2.543793643715322e-12,7.995434226700063e-23,1.4084540290803966e-14,1.4683097296833455e-22,1
0.16675158804958834,2.9340536118417022e-05,7.573550417380665e-12,8.549379920158635e-13,2.1710708881124222e-24,4.3758565435811006e-16,1.3816701325930575e-25,2
0.15927923222888266,3.866524133629538e-05,6.897059019793638e-11,2.9863253779269196e-14,-3.4495231198651394e-26,-1.6038620953738107e-16,2.5434934553143832e-26,1
0.16709470716750724,0.00019204534472977788,3.571957244453966e-07,1.7905095822786104e-08,1.2340996338051545e-15,-1.0880015004067751e-10,-7.262140164899794e-16,2
0.1593432139547622,5.890503081875588e-05,2.846112232878238e-10,2.1429809827566469e-13,-3.037053459981945e-25,-3.1391165638300955e-16,-1.6458200054445028e-24,1
0.19334525124620514,0.0003526487364939817,0.004590182596283791,1.0254622110505431e-05,-1.780472248664988e-09,-1.5670217799668128e-07,1.3340664582502666e-09,3
0.16663010506294007,1.495612389759307e-06,1.380081620936232e-30,6.486818975378503e-31,5.8920204443383786e-61,-7.871128099186035e-34,1.718861342366674e-61,2
0.15921194367959457,1.7620372788709123e-05,2.2830251210793535e-09,4.4695753042381573e-13,2.5910637426039004e-24,3.1359307457621255e-16,-1.404050577024525e-23,1
0.15922835842701466,2.2685470844280608e-05,5.887382603874269e-10,1.2532956355037507e-13,-9.651309698348173e-25,-5.315913532338809e-16,4.769912223740347e-25,1
0.16672265197886016,1.8227447255040332e-05,4.856663545810749e-13,5.176931727799783e-14,8.205411213420706e-27,-1.232756667065849e-18,2.345224699493824e-28,2
0.15939373649857252,7.499379744585461e-05,6.073007088591273e-10,3.6536072530338503e-13,-1.4168057051833159e-24,-9.136650374823755e-16,-5.2546733419946406e-24,1
0.15939205497474018,7.46438238477314e-05,6.58165066297802e-10,4.938519791625515e-13,6.918176625375232e-24,3.5446759231990627e-15,5.604624809634109e-24,1
0.1666574050930652,1.2442275189805988e-06,3.3763351117873224e-31,4.825688720749685e-31,-3.921605946841947e-62,-5.143834960088224e-34,-1.9079932821032958e-61,2
0.1922782129897609,3.817662227272883e-05,0.004515961441396256,1.1444351645910948e-06,6.41884548172366e-11,5.224961324171768e-09,-5.146679741902966e-11,3
0.16680231616395202,4.6243866099252915e-05,9.542624529747277e-09,1.0413363140272097e-10,2.848613743167805e-20,-4.667743842643295e-13,9.982046617500084e-20,2
0.19241414776565713,1.4315636571201973e-05,0.004548798353980902,4.090040101774162e-07,1.7602603077220172e-11,1.547500803965394e-09,-1.1734062284037398e-12,3
0.19323381138962836,0.00033094490924495006,0.004579026732793923,1.0509484346707534e-05,4.0882398859554713e-10,2.4317156507532866e-08,2.2689283624212868e-09,3
0.16725048245275603,0.00019423892996153265,9.28574535962643e-31,1.2174915965917579e-30,5.587067083658501e-61,-1.549765399727257e-32,-1.1677405007868038e-60,2
